Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Start Flag
1734691074,-0.340942383,0.854125977,-0.397705078,-0.122070305,-0.24414061,0.610351563,0
1734691075,-0.378173828,0.809082031,-0.393554688,-2.075195313,1.770019412,-1.037597656,0
1734691075,-0.351318359,0.838378906,-0.387329102,-0.671386659,-0.122070305,-0.122070305,0
1734691075,-0.373046875,0.841186523,-0.392456055,1.525878787,-1.403808475,-0.061035153,0
1734691075,-0.39074707,0.827514648,-0.400512695,0.24414061,7.751464367,0.305175781,0
1734691075,-0.349487305,0.841430664,-0.396972656,-1.586913943,5.432128429,0.24414061,0
1734691075,-0.325683594,0.84362793,-0.388183594,-1.953124881,3.662109137,0.732421815,0
1734691075,-0.350708008,0.838989258,-0.381469727,-0.183105454,1.892089725,0.183105454,0
1734691075,-0.364868164,0.828979492,-0.392700195,-0.671386659,1.403808475,0.122070305,0
1734691075,-0.377319336,0.83190918,-0.390991211,-1.586913943,1.159667969,0,0
1734691075,-0.372192383,0.835327148,-0.382324219,-0.671386659,3.60107398,0.305175781,0
1734691075,-0.332519531,0.841918945,-0.385009766,-0.305175781,2.319335938,0.061035153,0
1734691076,-0.378051758,0.820678711,-0.408203125,-2.319335938,0.732421815,0,0
1734691076,-0.444824219,0.762695313,-0.603759766,-45.77636337,-4.760742188,8.544921875,0
1734691076,-0.441162109,0.830078125,-0.715087891,-125.3662033,-37.65869141,21.36230278,0
1734691076,-0.454345703,0.68359375,-0.848144531,-143.6767578,-28.07616997,26.42822075,0
1734691076,-0.133911133,0.380004883,-1.077026367,-161.9872894,-33.08105469,-0.854492128,0
1734691076,-0.232055664,0.018188477,-1.128051758,-173.8281097,-81.78710175,-2.685546637,0
1734691076,-0.118652344,-0.240600586,-0.947021484,-186.6454926,-48.64501572,5.981444836,0
1734691076,-0.154052734,-0.489868164,-0.49987793,-143.9819336,-25.51269341,10.37597561,0
1734691077,0.040527344,-0.672241211,-0.360717773,-47.05810165,4.150390625,5.615233898,0
1734691077,-0.135253906,-0.668579102,-0.396118164,44.92187119,-5.126952648,-2.868652105,0
1734691077,0.064208984,-0.581787109,-0.721069336,106.1401291,21.30126762,-16.23535156,0
1734691077,-0.216308594,-0.447021484,-0.642700195,139.7705078,-30.45654106,0.854492128,0
1734691077,0.026611328,0.012084961,-1.05480957,185.8520355,28.74755669,-16.41845703,0
1734691077,-0.383911133,0.356079102,-1.126708984,171.2646332,-36.49902344,-14.64843655,0
1734691077,-0.536987305,0.5078125,-0.837036133,170.3491058,56.09130478,-18.79882813,0
1734691077,-0.495117188,0.87097168,-0.783325195,159.7900391,47.48534775,-28.99169731,0
1734691077,-0.517944336,0.713134766,-0.555664063,47.72948837,-7.446288586,-21.30126762,0
1734691078,-0.454833984,0.84387207,-0.319702148,17.76123047,-10.19287014,-8.117675781,0
1734691078,-0.494140625,0.814819336,-0.291137695,-1.098632813,13.24462795,0.97656244,1
1734691078,-0.317626953,0.862915039,-0.293457031,-6.652831554,1.159667969,2.685546637,1
1734691078,-0.445556641,0.850585938,-0.235473633,-5.249022961,-9.521484375,1.831054568,1
1734691078,-0.41027832,0.850952148,-0.291015625,3.356933355,1.281738162,0.183105454,1
1734691078,-0.392578125,0.853515625,-0.267211914,0.122070305,-1.708984256,1.098632813,1
1734691078,-0.393676758,0.854980469,-0.284179688,2.746581793,8.728027344,-0.366210908,1
1734691078,-0.392333984,0.849121094,-0.294189453,0.427246064,2.990722418,0.061035153,1
1734691079,-0.425170898,0.855712891,-0.266845703,-1.342773318,-7.263183117,0.854492128,1
1734691079,-0.383666992,0.856079102,-0.289916992,-3.906249762,-1.281738162,0.427246064,1
1734691079,-0.413452148,0.838623047,-0.284545898,0.549316406,-5.432128429,-0.061035153,1
1734691079,-0.426391602,0.850708008,-0.270874023,-0.793456972,-7.995604992,0.793456972,1
1734691079,-0.38671875,0.838623047,-0.322143555,-5.126952648,-1.403808475,1.953124881,1
1734691079,-0.50793457,0.748413086,-0.595825195,-82.03124237,-42.41942978,26.24511528,1
1734691079,-0.471923828,0.930786133,-0.892333984,-180.4199066,-41.80907822,32.65380859,1
1734691079,-0.314941406,0.448608398,-0.957275391,-171.6308441,-41.19872665,27.03857231,1
1734691079,-0.130493164,0.306274414,-1.141479492,-183.8378754,-81.60399628,33.93554688,1
1734691080,-0.478759766,-0.185180664,-0.910766602,-203.2470551,-49.19433212,22.64404106,1
1734691080,-0.293701172,-0.402954102,-0.634521484,-193.9697113,-1.220703125,28.99169731,1
1734691080,-0.080566406,-0.552246094,-0.189575195,-73.2421875,54.01610947,-6.713866711,1
1734691080,-0.354614258,-0.778564453,-0.416992188,45.16601181,-9.094238281,-33.26416016,1
1734691080,-0.025268555,-0.678222656,-0.510620117,102.4169846,12.32910061,-2.990722418,1
1734691080,-0.128417969,-0.418945313,-0.68371582,165.2221527,-32.10449219,-13.85497952,1
1734691080,-0.100708008,-0.091674805,-0.990356445,188.5986176,104.6752853,4.272460938,1
1734691080,-0.378051758,0.272338867,-0.921508789,182.2509613,-42.35839462,-18.37158203,1
1734691081,-0.545288086,0.534667969,-0.835083008,208.679184,124.9999924,-11.7797842,1
1734691081,-0.818969727,0.997558594,-0.82043457,167.4804535,110.5346603,60.30273056,1
1734691081,-0.71472168,0.595703125,-0.467651367,0.427246064,-46.93603134,-6.958007336,1
1734691081,-0.72265625,0.699707031,-0.287841797,11.96288967,-3.540038824,0.854492128,1
1734691081,-0.532104492,0.753295898,-0.32824707,-4.516601563,20.56884575,2.807616949,1
1734691082,-0.542358398,0.756347656,-0.3046875,4.39453125,0.793456972,-1.342773318,2
1734691082,-0.632446289,0.740112305,-0.283691406,-1.098632813,-5.432128429,-0.97656244,2
1734691082,-0.62890625,0.728271484,-0.281494141,-3.295898199,8.056640625,-0.549316406,2
1734691082,-0.536010742,0.75,-0.29309082,-0.366210908,-0.732421815,0.427246064,2
1734691082,-0.581420898,0.752441406,-0.268066406,0.122070305,-3.173827887,-0.427246064,2
1734691082,-0.583740234,0.744750977,-0.300170898,1.037597656,-0.732421815,0,2
1734691082,-0.549682617,0.742431641,-0.3125,1.464843631,-1.770019412,-0.854492128,2
1734691082,-0.565307617,0.748291016,-0.295532227,1.464843631,2.44140625,-0.915527284,2
1734691082,-0.58581543,0.751098633,-0.293579102,0.183105454,-4.760742188,-0.366210908,2
1734691082,-0.561645508,0.754394531,-0.301025391,-1.159667969,3.784179449,0.610351563,2
1734691082,-0.510009766,0.779052734,-0.295532227,3.540038824,-0.915527284,-0.793456972,2
1734691083,-0.549438477,0.762939453,-0.295288086,2.929687262,-7.568358898,-0.183105454,2
1734691083,-0.623901367,0.724121094,-0.364257813,-15.74706936,-8.850097656,5.920409679,2
1734691083,-0.715820313,0.680297852,-0.697387695,-118.5302658,-79.58984375,38.02490234,2
1734691083,-0.594482422,0.601196289,-0.982910156,-201.2328949,-40.28319931,5.249022961,2
1734691083,-0.419677734,0.324951172,-1.071899414,-193.3593597,-97.83934784,4.272460938,2
1734691083,-0.304931641,0.041259766,-1.170410156,-227.2338715,-86.42577362,12.14599514,2
1734691083,-0.105224609,-0.282592773,-0.747680664,-196.3500824,-81.17675018,-0.732421815,2
1734691083,0.104003906,-0.498535156,-0.158325195,-79.34570313,-20.56884575,9.521484375,2
1734691083,-0.041259766,-0.778686523,-0.131591797,31.67724419,8.911132813,-14.95361233,2
1734691084,-0.06652832,-0.642089844,-0.522705078,105.5297775,59.08202744,-5.554198742,2
1734691084,-0.203857422,-0.427246094,-0.703369141,156.3110352,43.94530869,-16.47949219,2
1734691084,-0.182861328,-0.118408203,-1.122436523,173.4008636,121.337883,-26.00097466,2
1734691084,-0.488769531,0.236694336,-0.770507813,184.6313324,50.35400009,-45.34911728,2
1734691084,-1.094482422,0.445678711,-0.757446289,181.3964691,140.6860352,-16.72363281,2
1734691084,-0.840332031,0.883300781,-0.726928711,164.550766,88.62303925,-41.50390244,2
1734691084,-0.624267578,0.601928711,-0.500854492,10.68115139,-27.52685356,-8.850097656,2
1734691084,-0.599243164,0.748413086,-0.365722656,1.098632813,13.54980373,1.098632813,2
1734691085,-0.513305664,0.761474609,-0.297729492,-6.591796398,5.004882813,1.525878787,2
1734691085,-0.532470703,0.787719727,-0.254516602,-4.638671875,5.981444836,0.183105454,2
1734691085,-0.572509766,0.768676758,-0.248168945,-0.549316406,-2.62451148,-1.098632813,3
1734691085,-0.529174805,0.773071289,-0.285522461,3.540038824,-3.234863043,0.427246064,3
1734691085,-0.553955078,0.762695313,-0.279785156,0.793456972,-1.525878787,1.159667969,3
1734691085,-0.541503906,0.779296875,-0.262573242,-3.11279273,7.934569836,0.793456972,3
1734691085,-0.575317383,0.76574707,-0.271606445,-1.953124881,6.469726086,-0.671386659,3
1734691085,-0.569946289,0.760498047,-0.262451172,-2.62451148,4.516601563,0.24414061,3
1734691085,-0.5859375,0.760253906,-0.273071289,0.610351563,1.708984256,0.732421815,3
1734691086,-0.581787109,0.750610352,-0.271972656,0.24414061,-0.061035153,0.915527284,3
1734691086,-0.536621094,0.774658203,-0.278686523,-0.732421815,-2.929687262,0.854492128,3
1734691086,-0.571411133,0.765991211,-0.263183594,-0.305175781,-1.281738162,0.183105454,3
1734691086,-0.552490234,0.77355957,-0.283813477,-2.44140625,-2.380371094,1.220703125,3
1734691086,-0.545776367,0.738769531,-0.354858398,-15.01464748,-11.7797842,6.042479992,3
1734691086,-0.676635742,0.724487305,-0.558959961,-82.33641815,-58.89892197,25.75683403,3
1734691086,-0.933959961,0.592041016,-0.659667969,-140.8081055,-32.10449219,16.05224609,3
1734691086,-0.577880859,0.412719727,-0.928344727,-143.5546875,-55.54198837,15.01464748,3
1734691087,-0.383056641,0.097412109,-1.115966797,-179.5654144,-97.16796112,34.54589844,3
1734691087,-0.537353516,-0.192504883,-0.833740234,-216.3085785,-67.56591797,21.54540825,3
1734691087,-0.110717773,-0.349487305,-0.622558594,-166.8090668,28.93066216,23.13232231,3
1734691087,0.034179688,-0.508789063,-0.404296875,-58.34960556,43.94530869,6.652831554,3
1734691087,-0.040527344,-0.661865234,-0.246582031,44.86083603,2.929687262,6.530761242,3
1734691087,-0.102905273,-0.560302734,-0.623779297,122.7416916,7.629394054,-20.38574028,3
1734691087,-0.305053711,-0.409057617,-0.874511719,161.437973,-81.35985565,-29.05273247,3
1734691087,-0.792236328,-0.13659668,-0.826293945,165.2221527,75.37841797,-8.422851563,3
1734691088,-0.34387207,0.125244141,-0.948364258,162.2314301,235.9008636,-12.39013577,3
1734691088,-0.222290039,0.695556641,-1.173706055,192.9321136,141.0522461,4.577636719,3
1734691088,-0.477539063,0.753662109,-0.723388672,99.853508,46.75292587,-48.58398056,3
1734691088,-0.737304688,0.65246582,-0.412597656,21.11816216,-2.807616949,-14.58740139,3
1734691088,-0.566650391,0.733276367,-0.373657227,9.948730469,-10.92529202,0.97656244,3
1734691088,-0.447631836,0.787963867,-0.324829102,5.859374523,-7.263183117,1.525878787,3
1734691089,-0.521728516,0.779541016,-0.272827148,7.934569836,9.033203125,-5.493163586,4
1734691089,-0.582275391,0.750732422,-0.279785156,5.554198742,-2.62451148,-4.577636719,4
1734691089,-0.544067383,0.772827148,-0.304321289,2.868652105,-2.685546637,-0.48828122,4
1734691089,-0.538330078,0.780883789,-0.279541016,-0.854492128,3.234863043,0.732421815,4
1734691089,-0.570678711,0.775878906,-0.274780273,-0.854492128,-5.737304211,0.610351563,4
1734691089,-0.57434082,0.772094727,-0.282958984,-1.953124881,1.220703125,0.366210908,4
1734691089,-0.525268555,0.775634766,-0.312255859,-5.310058117,2.380371094,1.586913943,4
1734691089,-0.513305664,0.774169922,-0.291137695,-1.831054568,-1.770019412,1.220703125,4
1734691089,-0.51965332,0.774902344,-0.297851563,-0.854492128,0.122070305,0.122070305,4
1734691089,-0.531982422,0.766479492,-0.3125,-2.44140625,-2.319335938,0.183105454,4
1734691089,-0.543457031,0.752075195,-0.33190918,-5.065917492,-1.770019412,-0.061035153,4
1734691090,-0.568481445,0.714233398,-0.477172852,-38.45214844,-6.408690929,2.075195313,4
1734691090,-0.616821289,0.780273438,-0.894165039,-145.8740234,-92.46825409,41.99218369,4
1734691090,-0.617431641,0.44152832,-1.124023438,-193.1762543,-68.48144531,36.1328125,4
1734691090,-0.445922852,0.255126953,-1.123291016,-235.4736176,-89.29442596,37.53662109,4
1734691090,-0.275390625,-0.034912109,-1.083618164,-256.2866211,-59.50927353,10.13183498,4
1734691090,-0.529663086,-0.388793945,-0.080810547,-123.0468674,-17.578125,-0.732421815,4
1734691090,-0.079956055,-0.730102539,-0.413574219,-11.47460842,-9.094238281,-68.48144531,4
1734691090,-0.182128906,-0.60168457,-0.362548828,80.93260956,16.96777344,-3.479003668,4
1734691091,0.079101563,-0.371582031,-0.679077148,166.6259613,7.690429211,-22.15575981,4
1734691091,-0.072998047,-0.026245117,-0.971069336,230.8349457,102.1118088,-8.30078125,4
1734691091,-0.293212891,0.414672852,-1.100463867,227.2949066,-30.33447075,-18.18847656,4
1734691091,-0.841186523,0.783325195,-0.764404297,212.9516449,38.45214844,39.55078125,4
1734691091,-0.836669922,0.757202148,-0.644897461,105.1635666,70.25146484,-45.95946884,4
1734691091,-0.713745117,0.703369141,-0.419067383,-1.098632813,-15.56396389,-3.784179449,4
1734691091,-0.616577148,0.727416992,-0.344238281,7.141112804,-2.44140625,2.319335938,4
1734691091,-0.567993164,0.756591797,-0.299072266,4.211425781,17.76123047,0,4
1734691092,-0.475830078,0.809082031,-0.314819336,-6.042479992,15.50292873,0.305175781,4
1734691092,-0.533935547,0.784667969,-0.300048828,1.525878787,-3.906249762,-2.746581793,4
1734691092,-0.594970703,0.775634766,-0.270507813,-1.403808475,10.98632717,0.97656244,4
1734691092,-0.420410156,0.823852539,-0.271240234,0,10.37597561,1.586913943,5
1734691092,-0.526855469,0.792114258,-0.264526367,-0.183105454,-3.540038824,0.24414061,5
